"Qty";"Value";"Device";"Package";"Parts";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"AUTOMOTIVE";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"CONFIGURATION";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"CURRENT_RATING";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INTERFACE";"IPC_LAND_PATTERN_NAME";"IS_FEMALE";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MEMORY_TYPE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NOMINAL_SUPPLY_CURRENT";"NUMBER_OF_CONTACTS";"NUMBER_OF_PORTS";"NUMBER_OF_ROWS";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"PREFIX";"PRICE";"PROD_ID";"RELEASE_DATE";"ROHS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SHIELDING";"SPICEPREFIX";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"USB_STANDARD";"VALUE";"VAULT_GUID";"VAULT_REVISION";"VERIFICATION_VERSION";"VOLTAGE";"VOLTAGE_RATING";
"5";"2.2uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C20, C21, C23, C24, C25";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C2012X7R1C225K125AB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20";"20OHM-0603-1/10W-1%";"0603";"R12, R13";"RES-07862";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07862";"";"";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";
"3";"220";"220OHM-0603-1/10W-1%";"0603";"R5, R6, R8";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"";"";"";"";"";"";"";"";"";"";"220";"";"";"";"";"";
"1";"390K";"RESISTOR0805_NOOUTLINE";"0805-NO";"R11";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CRGCQ0603F390K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"390k";"390KOHM-0603-1/10W-1%";"0603";"R14, R15";"390kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12024";"";"";"";"";"";"";"";"";"";"";"";"390k";"";"";"";"";"";
"1";"390nF";"390NF-0603-10V-10%";"0603";"C12";"0.39uF/390nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-10986";"";"";"";"";"";"";"";"";"";"";"";"390nF";"";"";"";"";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R2, R10";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"";"";"";"";"";"";"";"4.7k";"";"";"";"";"";
"2";"4.7uF";"4.7UF0603";"0603";"C3, C8";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"";"";"";"";"";"4.7uF";"";"";"";"";"";
"1";"470pF";"470PF-0603-50V-5%";"0603";"C6";"470pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07884";"";"";"";"";"";"";"";"";"";"";"";"470pF";"";"";"";"";"";
"2";"ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0";"ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0";"ALPS_SKQGAKE010_0";"BOOTMODE, RESET";"5.2mm Square Low-profile";"";"";"";"";"No";"";"";"";"";"";"";"";"";"";"";"http://www.mouser.com/ds/2/15/SKQG-180836.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes";"";"";"";"";"";"ALPS";"";"";"";"";"";"";"688-SKQGAKE010";"";"";"SKQGAKE010";"";"";"";"";"SW_PTH_TACT";"";"";"";"SW";"";"";"";"yes";"";"";"";"";"";"";"＋85℃";"-30℃";"";"";"";"";"";"";"";
"1";"ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0";"ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0";"ALPS_SKQGAKE010_0";"BOOTLOADER";"5.2mm Square Low-profile";"";"";"";"";"No";"";"";"";"";"";"";"";"";"";"";"http://www.mouser.com/ds/2/15/SKQG-180836.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes";"";"";"";"";"";"ALPS";"";"";"";"";"";"";"688-SKQGAKE010";"";"";"SKQGAKE010";"";"";"";"";"SW_PTH_TACT";"";"";"";"SW";"";"";"";"yes";"";"";"";"";"E";"";"＋85℃";"-30℃";"";"";"";"";"";"";"";
"2";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"J4, J5";"Audio Jack - 3.5mm TRRS (SMD)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-10676";"";"";"";"";"PRT-12639";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"HLK-5M05";"HLK-5M05";"CONV_HLK-5M05";"PS2";"AC DC 220V to 5V 5W 5Watt Isolated Switching Step-Down Power Supply Module Converter";"";"";"";"Unavailable";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hi-link";"";"";"";"";"";"";"";"";"HLK-5M05";"";"";"";"";"";"Package Analog Devices";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAGJACK";"MAGJACK";"MAGJACK";"J6";"MAGJACK: RJ-45 with LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-09556";"";"";"";"";"PRT-08534";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NCN5151";"NCN5151";"QFN50P400X400X100-21N";"IC1";"NCN5150 Wired M-BUS Slave Transceiver";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NCN5150 Wired M-BUS Slave Transceiver";"";"";"";"";"";"";"";"";"";"";"";"";"";"1mm";"";"";"";"";"";"";"";"ON Semiconductor";"NCN5151";"";"";"";"";"";"";"";"";"";"";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ON_SEMICONDUCTOR_MBD330DWT1GON_SEMICONDUCTOR_MBD330DWT1G_0_0";"ON_SEMICONDUCTOR_MBD330DWT1GON_SEMICONDUCTOR_MBD330DWT1G_0_0";"ON_SEMICONDUCTOR_MBD330DWT1G_0";"D1";"ONSC-SBD-A1K3A4K6-6";"";"";"";"";"";"849672";"Manufacturer URL";"http://www.onsemi.com/";"Package Specification";"http://www.onsemi.com/pub_link/Collateral/NTJD4001N-D.PDF";"Dual";"";"";"";"";"http://www.onsemi.cn/pub_link/Collateral/MBD110DWT1-D.PDF";"Rev. 8";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommended";"";"";"";"";"yes";"vault";"1521844986";"";"";"";"";"";"";"";"";"";"On Semiconductor";"";"";"";"";"Surface Mount";"";"";"";"";"MBD330DWT1G";"";"";"";"";"SOT-363-6-419B-02_W";"6-Pin Small Outline Transistor, Body 2 x 1.25 mm, Pitch 0.65 mm";"Rev. W, 01/2006";"Tape and Reel";"D";"";"";"1407137697";"Yes";"";"";"";"";"";"";"";"";"";"";"CF32EDBA-AD87-46A0-930F-E4ED7C62B1A0";"EEBFFD10-91F4-4242-B9B2-A9BE9B4C3CBA";"";"";"";
"1";"PYCOME-G01-OEM";"PYCOME-G01-OEM";"PYCOM_PYCOME-G01-OEM";"U1";"The G01 is the GPy OEM module. It’s just like the GPy but with a few bits less to make it easy to integrate. Triple network module: Cellular LTE-CAT M1/NB1, WiFi and Bluetooth.";"";"";"";"Unavailable";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Pycom";"";"";"";"";"";"";"";"";"PYCOME-G01-OEM";"";"";"";"";"";"None";"";"";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
