Qty,Value,Device,Package,Parts,Description,AMBIENT_TEMPERATURE_RANGE_HIGH,AMBIENT_TEMPERATURE_RANGE_LOW,AUTOMOTIVE,AVAILABILITY,CENTROID_NOT_SPECIFIED,CIIVA_IDS,COMPONENT_LINK_1_DESCRIPTION,COMPONENT_LINK_1_URL,COMPONENT_LINK_3_DESCRIPTION,COMPONENT_LINK_3_URL,CONFIGURATION,CONN_GENDER,CONN_ORIENTATION,CONTACT_MATERIAL,CURRENT_RATING,DATASHEET,DATASHEET_VERSION,DESCRIPTION,DEVICE_CLASS_L1,DEVICE_CLASS_L2,DEVICE_CLASS_L3,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,FOOTPRINT_PARAMETERS_1,FOOTPRINT_PARAMETERS_2,FOOTPRINT_PARAMETERS_3,FOOTPRINT_URL,FOOTPRINT_VARIANT_NAME_0,FOOTPRINT_VARIANT_NAME_1,FOOTPRINT_VARIANT_NAME_2,FOOTPRINT_VARIANT_NAME_3,HEIGHT,IMPORTED,IMPORTED_FROM,IMPORT_TS,INTERFACE,IPC_LAND_PATTERN_NAME,IS_FEMALE,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAX_JUNCTION_TEMP,MAX_SUPPLY_VOLTAGE,MEMORY_TYPE,MF,MFG_PACKAGE_IDENT,MFG_PACKAGE_IDENT_DATE,MFG_PACKAGE_IDENT_REV,MIN_SUPPLY_VOLTAGE,MOUNTING_TECHNOLOGY,MOUSER_DESCRIPTION,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,NOMINAL_SUPPLY_CURRENT,NUMBER_OF_CONTACTS,NUMBER_OF_PORTS,NUMBER_OF_ROWS,PACKAGE,PACKAGE_DESCRIPTION,PACKAGE_VERSION,PACKING,PREFIX,PRICE,PROD_ID,RELEASE_DATE,ROHS,RS_PART_NUMBER,RS_PRICE-STOCK,SF_ID,SHIELDING,SPICEPREFIX,STANDOFF_HEIGHT,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,USB_STANDARD,VALUE,VAULT_GUID,VAULT_REVISION,VERIFICATION_VERSION,VOLTAGE,VOLTAGE_RATING,
1,13k,RC0603FR-0713KL,603,R9,13kΩ resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-09571,,,,,,,,,,,,13k,,,,,,
1,150k,RC0603FR-07150KL,603,R3,150kΩ resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-09117,,,,,,,,,,,,150k,,,,,,
1,1k,CRGCQ0805F1K0,805,R1,Generic Resistor Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,
5,2.2uF,CC0805KKX7R6BB225,0805-NO,"C20, C21, C23, C24, C25",Ceramic Capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2012X7R1C225K125AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,RP73PF1J20RBTDF,603,"R12, R13",RES-07862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-07862,,,,,,,,,,,,20,,,,,,
3,220,RC0603JR-07220RL,603,"R5, R6, R8",220Ω resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-07861,,,,,,,,,,,,220,,,,,,
1,390K,RC0805FR-07390KL,0805-NO,R11,Resistors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRGCQ0603F390K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,390k,RC0603FR-07390KL,603,"R14, R15",390kΩ resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-12024,,,,,,,,,,,,390k,,,,,,
1,390nF,C0603C394K8PACTU,603,C12,0.39uF/390nF ceramic capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAP-10986,,,,,,,,,,,,390nF,,,,,,
2,4.7k,RC0603FR-074K7L,603,"R2, R10",4.7kΩ resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RES-07857,,,,,,,,,,,,4.7k,,,,,,
2,4.7uF,CC0603ZRY5V5BB475,603,"C3, C8",4.7µF ceramic capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAP-08280,,,,,,,,,,,,4.7uF,,,,,,
1,470pF,06035A471JAT2A,603,C6,470pF ceramic capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAP-07884,,,,,,,,,,,,470pF,,,,,,
2,ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0,ALPS SKQGAKE010,ALPS_SKQGAKE010_0,"BOOTMODE, RESET",5.2mm Square Low-profile,,,,,No,,,,,,,,,,,http://www.mouser.com/ds/2/15/SKQG-180836.pdf,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,ALPS,,,,,,,688-SKQGAKE010,,,SKQGAKE010,,,,,SW_PTH_TACT,,,,SW,,,,yes,,,,,,,＋85℃,-30℃,,,,,,,,
1,ALPS_SKQGAKE010ALPS_SKQGAKE010_0_0,ALPS SKQGAKE010,ALPS_SKQGAKE010_0,BOOTLOADER,5.2mm Square Low-profile,,,,,No,,,,,,,,,,,http://www.mouser.com/ds/2/15/SKQG-180836.pdf,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,ALPS,,,,,,,688-SKQGAKE010,,,SKQGAKE010,,,,,SW_PTH_TACT,,,,SW,,,,yes,,,,,E,,＋85℃,-30℃,,,,,,,,
2,AUDIO_JACK_TRRSSMD_RA,SJ2-3573A-SMT-TR,AUDIO_JACK_3.5MM_TRRS_SMD_RA,"J4, J5",Audio Jack - 3.5mm TRRS (SMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONN-10676,,,,,PRT-12639,,,,,,,,,,,,,
